Length	Time
100	0
200	0.001
300	0.001
400	0.002
500	0.003
600	0.004
700	0.006
800	0.007
900	0.009
1000	0.011
1100	0.014
1200	0.016
1300	0.019
1400	0.022
1500	0.025
1600	0.03
1700	0.034
1800	0.037
1900	0.04
2000	0.045
2100	0.05
2200	0.053
2300	0.06
2400	0.065
2500	0.069
2600	0.077
2700	0.083
2800	0.088
2900	0.094
3000	0.102
3100	0.108
3200	0.116
3300	0.123
3400	0.132
3500	0.141
3600	0.149
3700	0.156
3800	0.164
3900	0.176
4000	0.181
4100	0.187
4200	0.199
4300	0.21
4400	0.216
4500	0.226
4600	0.237
4700	0.249
4800	0.259
4900	0.269
5000	0.282
5100	0.295
5200	0.306
5300	0.321
5400	0.331
5500	0.344
5600	0.357
5700	0.371
5800	0.386
5900	0.397
6000	0.412
6100	0.425
6200	0.439
6300	0.456
6400	0.472
6500	0.484
6600	0.499
6700	0.516
6800	0.536
6900	0.549
7000	0.565
7100	0.582
7200	0.597
7300	0.613
7400	0.631
7500	0.648
7600	0.666
7700	0.685
7800	0.703
7900	0.719
8000	0.738
8100	0.759
8200	0.764
8300	0.818
8400	0.805
8500	0.824
8600	0.845
8700	0.861
8800	0.883
8900	0.903
9000	0.926
9100	0.947
9200	0.966
9300	0.979
9400	1.011
9500	1.028
9600	1.044
9700	1.067
9800	1.086
9900	1.106
10000	1.128
